,Year,Lung,State
0,1999,2.2,WI
1,2000,2.0,WI
2,2001,2.0,WI
3,2002,1.2,WI
4,2003,1.4,WI
5,2004,1.8,WI
6,2005,1.4,WI
7,2006,1.7,WI
8,2007,1.8,WI
9,2008,1.5,WI
10,2009,1.2,WI
11,2010,1.6,WI
12,2011,1.8,WI
13,2012,1.6,WI
14,2013,1.8,WI
15,2014,1.8,WI
16,2015,1.9,WI
0,2016,1.8985222635071288,WI
1,2017,0.9056174226534529,WI
2,2018,1.5400571734417676,WI
3,2019,0.3716174283964497,WI
4,2020,0.5574468173138889,WI
5,2021,0.909160103051469,WI
6,2022,0.0,WI
7,2023,0.477402978298197,WI
8,2024,0.4441471530830313,WI
9,2025,0.0,WI
