,Year,Larynx,State
0,1999,57.4,WI
1,2000,55.4,WI
2,2001,62.8,WI
3,2002,60.6,WI
4,2003,61.2,WI
5,2004,60.9,WI
6,2005,66.2,WI
7,2006,67.2,WI
8,2007,64.6,WI
9,2008,66.0,WI
10,2009,65.3,WI
11,2010,68.5,WI
12,2011,72.3,WI
13,2012,71.7,WI
14,2013,72.3,WI
15,2014,72.9,WI
16,2015,69.9,WI
0,2016,74.83760373249785,WI
1,2017,59.676747296892366,WI
2,2018,87.56182949943114,WI
3,2019,58.36611553001808,WI
4,2020,67.09311809210186,WI
5,2021,46.64012383357722,WI
6,2022,24.152947299524985,WI
7,2023,50.081240526802155,WI
8,2024,32.979409738105474,WI
9,2025,26.457517204311102,WI
