,Year,Lung,State
0,1999,3.0,WV
1,2000,3.4,WV
2,2001,2.8,WV
3,2002,3.0,WV
4,2003,3.6,WV
5,2004,2.9,WV
6,2005,2.4,WV
7,2006,2.7,WV
8,2007,3.3,WV
9,2008,3.2,WV
10,2009,3.0,WV
11,2010,4.0,WV
12,2011,4.1,WV
13,2012,2.7,WV
14,2013,3.8,WV
15,2014,3.8,WV
16,2015,3.1,WV
0,2016,3.359413815699129,WV
1,2017,2.6214129286886467,WV
2,2018,2.992379339779524,WV
3,2019,0.5257697492240522,WV
4,2020,1.3101873418089398,WV
5,2021,2.146619584465044,WV
6,2022,0.0,WV
7,2023,0.6313613753998517,WV
8,2024,1.8097551653497133,WV
9,2025,0.0,WV
