,Year,Larynx,State
0,1999,91.9,WV
1,2000,92.8,WV
2,2001,99.1,WV
3,2002,94.6,WV
4,2003,90.0,WV
5,2004,91.5,WV
6,2005,105.3,WV
7,2006,99.0,WV
8,2007,100.1,WV
9,2008,107.3,WV
10,2009,95.6,WV
11,2010,93.3,WV
12,2011,92.8,WV
13,2012,96.9,WV
14,2013,101.4,WV
15,2014,99.9,WV
16,2015,97.4,WV
0,2016,98.05743905725103,WV
1,2017,46.11422450766064,WV
2,2018,83.6360348731732,WV
3,2019,46.46706349399142,WV
4,2020,49.32108699716504,WV
5,2021,54.6835227949967,WV
6,2022,8.83052475169692,WV
7,2023,23.87710050404532,WV
8,2024,29.260161340384435,WV
9,2025,2.2876632573110998,WV
