,Year,Lung,State
0,1999,11.8,WV
1,2000,10.8,WV
2,2001,11.6,WV
3,2002,11.2,WV
4,2003,9.5,WV
5,2004,9.3,WV
6,2005,11.5,WV
7,2006,10.1,WV
8,2007,11.0,WV
9,2008,11.3,WV
10,2009,11.6,WV
11,2010,11.2,WV
12,2011,10.7,WV
13,2012,11.5,WV
14,2013,11.1,WV
15,2014,11.7,WV
16,2015,11.1,WV
0,2016,11.79888471060428,WV
1,2017,12.505920872164234,WV
2,2018,7.509929851497828,WV
3,2019,9.674601644246701,WV
4,2020,2.814217896492904,WV
5,2021,9.331729917080802,WV
6,2022,0.0,WV
7,2023,11.063628743620818,WV
8,2024,0.0,WV
9,2025,15.681413691549096,WV
