,Cancer,Gender,Larynx,Lung,Nasal,Race,State,Trachea,Year
0,Larynx,Male,66.6,,,Black or African American,NJ,,1999
1,Larynx,Male,64.3,,,Black or African American,NJ,,2000
2,Larynx,Male,60.1,,,Black or African American,NJ,,2001
3,Larynx,Male,62.6,,,Black or African American,NJ,,2002
4,Larynx,Male,60.0,,,Black or African American,NJ,,2003
5,Larynx,Male,54.6,,,Black or African American,NJ,,2004
6,Larynx,Male,59.8,,,Black or African American,NJ,,2005
7,Larynx,Male,56.5,,,Black or African American,NJ,,2006
8,Larynx,Male,62.1,,,Black or African American,NJ,,2007
9,Larynx,Male,53.5,,,Black or African American,NJ,,2008
10,Larynx,Male,59.3,,,Black or African American,NJ,,2009
11,Larynx,Male,52.2,,,Black or African American,NJ,,2010
12,Larynx,Male,50.8,,,Black or African American,NJ,,2011
13,Larynx,Male,53.9,,,Black or African American,NJ,,2012
14,Larynx,Male,48.9,,,Black or African American,NJ,,2013
15,Larynx,Male,48.2,,,Black or African American,NJ,,2014
16,Larynx,Male,48.6,,,Black or African American,NJ,,2015
17,Larynx,Male,46.25755905886673,,,Black or African American,NJ,,2016
18,Larynx,Male,49.39926161329676,,,Black or African American,NJ,,2017
19,Larynx,Male,17.195466488355912,,,Black or African American,NJ,,2018
20,Larynx,Male,43.38713419275164,,,Black or African American,NJ,,2019
21,Larynx,Male,0.0,,,Black or African American,NJ,,2020
22,Larynx,Male,45.32742323874747,,,Black or African American,NJ,,2021
23,Larynx,Male,0.0,,,Black or African American,NJ,,2022
24,Larynx,Male,62.8481912213642,,,Black or African American,NJ,,2023
25,Larynx,Male,0.0,,,Black or African American,NJ,,2024
26,Larynx,Male,105.36058981686682,,,Black or African American,NJ,,2025
27,Lung,Male,,7.4,,White,VA,,1999
28,Lung,Male,,7.8,,White,VA,,2000
29,Lung,Male,,6.0,,White,VA,,2001
30,Lung,Male,,5.8,,White,VA,,2002
31,Lung,Male,,6.5,,White,VA,,2003
32,Lung,Male,,7.3,,White,VA,,2004
33,Lung,Male,,6.9,,White,VA,,2005
34,Lung,Male,,6.5,,White,VA,,2006
35,Lung,Male,,5.7,,White,VA,,2007
36,Lung,Male,,6.0,,White,VA,,2008
37,Lung,Male,,6.8,,White,VA,,2009
38,Lung,Male,,6.0,,White,VA,,2010
39,Lung,Male,,6.5,,White,VA,,2011
40,Lung,Male,,5.7,,White,VA,,2012
41,Lung,Male,,6.7,,White,VA,,2013
42,Lung,Male,,6.2,,White,VA,,2014
43,Lung,Male,,6.1,,White,VA,,2015
44,Lung,Male,,6.1839747262689455,,White,VA,,2016
45,Lung,Male,,6.948802660775619,,White,VA,,2017
46,Lung,Male,,3.3038419794825677,,White,VA,,2018
47,Lung,Male,,8.37173679715014,,White,VA,,2019
48,Lung,Male,,0.0,,White,VA,,2020
49,Lung,Male,,8.579890574167306,,White,VA,,2021
50,Lung,Male,,0.0,,White,VA,,2022
51,Lung,Male,,13.502998251097601,,White,VA,,2023
52,Lung,Male,,0.0,,White,VA,,2024
53,Lung,Male,,23.517750482828887,,White,VA,,2025
54,Larynx,Female,67.6,,,White,LA,,1999
55,Larynx,Female,69.7,,,White,LA,,2000
56,Larynx,Female,74.9,,,White,LA,,2001
57,Larynx,Female,69.0,,,White,LA,,2002
58,Larynx,Female,73.9,,,White,LA,,2003
59,Larynx,Female,74.8,,,White,LA,,2004
60,Larynx,Female,75.4,,,White,LA,,2005
61,Larynx,Female,75.0,,,White,LA,,2006
62,Larynx,Female,79.3,,,White,LA,,2007
63,Larynx,Female,76.5,,,White,LA,,2008
64,Larynx,Female,75.6,,,White,LA,,2009
65,Larynx,Female,71.9,,,White,LA,,2010
66,Larynx,Female,73.1,,,White,LA,,2011
67,Larynx,Female,76.8,,,White,LA,,2012
68,Larynx,Female,78.0,,,White,LA,,2013
69,Larynx,Female,75.4,,,White,LA,,2014
70,Larynx,Female,76.2,,,White,LA,,2015
71,Larynx,Female,76.43321575476303,,,White,LA,,2016
72,Larynx,Female,12.84116119246337,,,White,LA,,2017
73,Larynx,Female,37.69526646608668,,,White,LA,,2018
74,Larynx,Female,51.58171889757975,,,White,LA,,2019
75,Larynx,Female,24.67057013206274,,,White,LA,,2020
76,Larynx,Female,18.249264422787828,,,White,LA,,2021
77,Larynx,Female,21.82029714663156,,,White,LA,,2022
78,Larynx,Female,5.6947062791377725,,,White,LA,,2023
79,Larynx,Female,4.027924927241156,,,White,LA,,2024
80,Larynx,Female,14.130863895349565,,,White,LA,,2025
81,Lung,Male,,7.5,,White,IN,,1999
82,Lung,Male,,7.3,,White,IN,,2000
83,Lung,Male,,6.8,,White,IN,,2001
84,Lung,Male,,6.9,,White,IN,,2002
85,Lung,Male,,7.2,,White,IN,,2003
86,Lung,Male,,7.9,,White,IN,,2004
87,Lung,Male,,7.3,,White,IN,,2005
88,Lung,Male,,7.8,,White,IN,,2006
89,Lung,Male,,7.8,,White,IN,,2007
90,Lung,Male,,6.9,,White,IN,,2008
91,Lung,Male,,8.1,,White,IN,,2009
92,Lung,Male,,8.4,,White,IN,,2010
93,Lung,Male,,8.6,,White,IN,,2011
94,Lung,Male,,7.1,,White,IN,,2012
95,Lung,Male,,7.6,,White,IN,,2013
96,Lung,Male,,7.0,,White,IN,,2014
97,Lung,Male,,7.4,,White,IN,,2015
98,Lung,Male,,7.768347762277516,,White,IN,,2016
99,Lung,Male,,5.727680326322867,,White,IN,,2017
100,Lung,Male,,5.710388967863143,,White,IN,,2018
101,Lung,Male,,5.163102591504803,,White,IN,,2019
102,Lung,Male,,4.4584399287199545,,White,IN,,2020
103,Lung,Male,,4.725867468998408,,White,IN,,2021
104,Lung,Male,,1.5891658995512967,,White,IN,,2022
105,Lung,Male,,2.7296176660161637,,White,IN,,2023
106,Lung,Male,,1.4713827930216352,,White,IN,,2024
107,Lung,Male,,2.363541949776379,,White,IN,,2025
108,Nasal,Male,,,1.4,White,FL,,1999
109,Nasal,Male,,,1.3,White,FL,,2000
110,Nasal,Male,,,1.2,White,FL,,2001
111,Nasal,Male,,,1.2,White,FL,,2002
112,Nasal,Male,,,1.3,White,FL,,2003
113,Nasal,Male,,,1.2,White,FL,,2004
114,Nasal,Male,,,1.2,White,FL,,2005
115,Nasal,Male,,,1.2,White,FL,,2006
116,Nasal,Male,,,1.3,White,FL,,2007
117,Nasal,Male,,,1.4,White,FL,,2008
118,Nasal,Male,,,1.5,White,FL,,2009
119,Nasal,Male,,,1.4,White,FL,,2010
120,Nasal,Male,,,1.2,White,FL,,2011
121,Nasal,Male,,,1.2,White,FL,,2012
122,Nasal,Male,,,1.3,White,FL,,2013
123,Nasal,Male,,,1.3,White,FL,,2014
124,Nasal,Male,,,1.1,White,FL,,2015
125,Nasal,Male,,,1.0235675622958011,White,FL,,2016
126,Nasal,Male,,,0.0,White,FL,,2017
127,Nasal,Male,,,0.23468841451579925,White,FL,,2018
128,Nasal,Male,,,1.3470246942712674,White,FL,,2019
129,Nasal,Male,,,0.2470397735700286,White,FL,,2020
130,Nasal,Male,,,0.0,White,FL,,2021
131,Nasal,Male,,,0.0,White,FL,,2022
132,Nasal,Male,,,1.902156054315186,White,FL,,2023
133,Nasal,Male,,,0.1155174359486928,White,FL,,2024
134,Nasal,Male,,,0.0,White,FL,,2025
135,Lung,Male,,8.0,,White,OK,,1999
136,Lung,Male,,7.8,,White,OK,,2000
137,Lung,Male,,8.8,,White,OK,,2001
138,Lung,Male,,8.6,,White,OK,,2002
139,Lung,Male,,7.8,,White,OK,,2003
140,Lung,Male,,6.3,,White,OK,,2004
141,Lung,Male,,7.4,,White,OK,,2005
142,Lung,Male,,8.7,,White,OK,,2006
143,Lung,Male,,7.7,,White,OK,,2007
144,Lung,Male,,7.1,,White,OK,,2008
145,Lung,Male,,8.1,,White,OK,,2009
146,Lung,Male,,7.3,,White,OK,,2010
147,Lung,Male,,5.6,,White,OK,,2011
148,Lung,Male,,6.7,,White,OK,,2012
149,Lung,Male,,7.1,,White,OK,,2013
150,Lung,Male,,7.9,,White,OK,,2014
151,Lung,Male,,6.5,,White,OK,,2015
152,Lung,Male,,6.410914250674613,,White,OK,,2016
153,Lung,Male,,3.3567688923322008,,White,OK,,2017
154,Lung,Male,,7.58534148666389,,White,OK,,2018
155,Lung,Male,,5.147007584022385,,White,OK,,2019
156,Lung,Male,,1.8715128024996772,,White,OK,,2020
157,Lung,Male,,4.862510992048397,,White,OK,,2021
158,Lung,Male,,2.4843620290440764,,White,OK,,2022
159,Lung,Male,,0.0,,White,OK,,2023
160,Lung,Male,,3.228359354910485,,White,OK,,2024
161,Lung,Male,,2.3268473868683115,,White,OK,,2025
162,Larynx,Female,52.7,,,Black or African American,OH,,1999
163,Larynx,Female,51.7,,,Black or African American,OH,,2000
164,Larynx,Female,47.0,,,Black or African American,OH,,2001
165,Larynx,Female,54.7,,,Black or African American,OH,,2002
166,Larynx,Female,60.9,,,Black or African American,OH,,2003
167,Larynx,Female,58.3,,,Black or African American,OH,,2004
168,Larynx,Female,59.1,,,Black or African American,OH,,2005
169,Larynx,Female,60.9,,,Black or African American,OH,,2006
170,Larynx,Female,61.0,,,Black or African American,OH,,2007
171,Larynx,Female,59.4,,,Black or African American,OH,,2008
172,Larynx,Female,61.9,,,Black or African American,OH,,2009
173,Larynx,Female,63.6,,,Black or African American,OH,,2010
174,Larynx,Female,58.3,,,Black or African American,OH,,2011
175,Larynx,Female,60.4,,,Black or African American,OH,,2012
176,Larynx,Female,63.3,,,Black or African American,OH,,2013
177,Larynx,Female,60.5,,,Black or African American,OH,,2014
