,Year,Lung,State,Gender,Race,Cancer
0,1999,7.7,CA,Male,Black or African American,Lung
1,2000,6.6,CA,Male,Black or African American,Lung
2,2001,6.3,CA,Male,Black or African American,Lung
3,2002,6.2,CA,Male,Black or African American,Lung
4,2003,6.5,CA,Male,Black or African American,Lung
5,2004,5.0,CA,Male,Black or African American,Lung
6,2005,5.0,CA,Male,Black or African American,Lung
7,2006,6.3,CA,Male,Black or African American,Lung
8,2007,4.5,CA,Male,Black or African American,Lung
9,2008,4.0,CA,Male,Black or African American,Lung
10,2009,5.9,CA,Male,Black or African American,Lung
11,2010,5.7,CA,Male,Black or African American,Lung
12,2011,4.5,CA,Male,Black or African American,Lung
13,2012,4.6,CA,Male,Black or African American,Lung
14,2013,4.2,CA,Male,Black or African American,Lung
15,2014,4.1,CA,Male,Black or African American,Lung
16,2015,4.5,CA,Male,Black or African American,Lung
0,2016,3.92932936842063,CA,Male,Black or African American,Lung
1,2017,0.37845850986786667,CA,Male,Black or African American,Lung
2,2018,5.67189833789301,CA,Male,Black or African American,Lung
3,2019,1.359104142919227,CA,Male,Black or African American,Lung
4,2020,0.0,CA,Male,Black or African American,Lung
5,2021,6.433026862068505,CA,Male,Black or African American,Lung
6,2022,0.0,CA,Male,Black or African American,Lung
7,2023,0.0,CA,Male,Black or African American,Lung
8,2024,11.0013207065057,CA,Male,Black or African American,Lung
9,2025,0.0,CA,Male,Black or African American,Lung
