,Year,Larynx,State,Gender,Race,Cancer
0,1999,58.8,CA,Male,White,Larynx
1,2000,57.9,CA,Male,White,Larynx
2,2001,57.1,CA,Male,White,Larynx
3,2002,54.7,CA,Male,White,Larynx
4,2003,53.8,CA,Male,White,Larynx
5,2004,53.1,CA,Male,White,Larynx
6,2005,53.1,CA,Male,White,Larynx
7,2006,52.8,CA,Male,White,Larynx
8,2007,53.0,CA,Male,White,Larynx
9,2008,52.1,CA,Male,White,Larynx
10,2009,52.2,CA,Male,White,Larynx
11,2010,49.8,CA,Male,White,Larynx
12,2011,47.1,CA,Male,White,Larynx
13,2012,46.3,CA,Male,White,Larynx
14,2013,45.1,CA,Male,White,Larynx
15,2014,45.3,CA,Male,White,Larynx
16,2015,44.3,CA,Male,White,Larynx
0,2016,44.10522547565071,CA,Male,White,Larynx
1,2017,0.9313200223410537,CA,Male,White,Larynx
2,2018,0.0,CA,Male,White,Larynx
3,2019,3.7802462303393494,CA,Male,White,Larynx
4,2020,22.293362438941095,CA,Male,White,Larynx
5,2021,24.159501719854628,CA,Male,White,Larynx
6,2022,8.929720379156198,CA,Male,White,Larynx
7,2023,0.0,CA,Male,White,Larynx
8,2024,0.0,CA,Male,White,Larynx
9,2025,0.0,CA,Male,White,Larynx
