,Year,Lung,State,Gender,Race,Cancer
0,1999,1.2,CO,Female,White,Lung
1,2000,1.3,CO,Female,White,Lung
2,2001,1.2,CO,Female,White,Lung
3,2002,1.5,CO,Female,White,Lung
4,2003,1.3,CO,Female,White,Lung
5,2004,1.3,CO,Female,White,Lung
6,2005,1.0,CO,Female,White,Lung
7,2006,1.1,CO,Female,White,Lung
8,2007,1.2,CO,Female,White,Lung
9,2008,1.0,CO,Female,White,Lung
10,2009,1.1,CO,Female,White,Lung
11,2010,1.1,CO,Female,White,Lung
12,2011,1.0,CO,Female,White,Lung
13,2012,0.8,CO,Female,White,Lung
14,2013,1.1,CO,Female,White,Lung
15,2014,0.8,CO,Female,White,Lung
16,2015,1.5,CO,Female,White,Lung
0,2016,0.47378816008493807,CO,Female,White,Lung
1,2017,2.064477873600927,CO,Female,White,Lung
2,2018,0.0,CO,Female,White,Lung
3,2019,5.296105913706556,CO,Female,White,Lung
4,2020,0.0,CO,Female,White,Lung
5,2021,16.04276368581426,CO,Female,White,Lung
6,2022,0.0,CO,Female,White,Lung
7,2023,55.007013671693144,CO,Female,White,Lung
8,2024,0.0,CO,Female,White,Lung
9,2025,192.43204611076746,CO,Female,White,Lung
