,Year,Lung,State,Gender,Race,Cancer
0,1999,4.4,CO,Male,White,Lung
1,2000,4.3,CO,Male,White,Lung
2,2001,4.2,CO,Male,White,Lung
3,2002,4.7,CO,Male,White,Lung
4,2003,3.2,CO,Male,White,Lung
5,2004,3.3,CO,Male,White,Lung
6,2005,4.0,CO,Male,White,Lung
7,2006,4.1,CO,Male,White,Lung
8,2007,3.9,CO,Male,White,Lung
9,2008,3.5,CO,Male,White,Lung
10,2009,3.4,CO,Male,White,Lung
11,2010,4.0,CO,Male,White,Lung
12,2011,4.6,CO,Male,White,Lung
13,2012,3.6,CO,Male,White,Lung
14,2013,4.3,CO,Male,White,Lung
15,2014,4.6,CO,Male,White,Lung
16,2015,4.0,CO,Male,White,Lung
0,2016,4.350752366921113,CO,Male,White,Lung
1,2017,3.1329101226528335,CO,Male,White,Lung
2,2018,4.118384570491019,CO,Male,White,Lung
3,2019,2.2245994727474567,CO,Male,White,Lung
4,2020,2.4665506830748454,CO,Male,White,Lung
5,2021,1.2422230914439765,CO,Male,White,Lung
6,2022,1.304725100866163,CO,Male,White,Lung
7,2023,1.5947938138975706,CO,Male,White,Lung
8,2024,0.28876027503706836,CO,Male,White,Lung
9,2025,1.2620916136458806,CO,Male,White,Lung
