,Year,Lung,State,Gender,Race,Cancer
0,1999,7.3,FL,Male,Black or African American,Lung
1,2000,8.7,FL,Male,Black or African American,Lung
2,2001,7.1,FL,Male,Black or African American,Lung
3,2002,6.3,FL,Male,Black or African American,Lung
4,2003,8.2,FL,Male,Black or African American,Lung
5,2004,8.1,FL,Male,Black or African American,Lung
6,2005,7.8,FL,Male,Black or African American,Lung
7,2006,6.9,FL,Male,Black or African American,Lung
8,2007,6.5,FL,Male,Black or African American,Lung
9,2008,6.1,FL,Male,Black or African American,Lung
10,2009,6.7,FL,Male,Black or African American,Lung
11,2010,6.6,FL,Male,Black or African American,Lung
12,2011,4.5,FL,Male,Black or African American,Lung
13,2012,5.2,FL,Male,Black or African American,Lung
14,2013,4.5,FL,Male,Black or African American,Lung
15,2014,4.5,FL,Male,Black or African American,Lung
16,2015,5.8,FL,Male,Black or African American,Lung
0,2016,3.5648539360593823,FL,Male,Black or African American,Lung
1,2017,3.0962738350573007,FL,Male,Black or African American,Lung
2,2018,2.9630974640426286,FL,Male,Black or African American,Lung
3,2019,0.14808039508273918,FL,Male,Black or African American,Lung
4,2020,5.320003938864363,FL,Male,Black or African American,Lung
5,2021,0.0,FL,Male,Black or African American,Lung
6,2022,3.554038047289998,FL,Male,Black or African American,Lung
7,2023,0.0,FL,Male,Black or African American,Lung
8,2024,0.0,FL,Male,Black or African American,Lung
9,2025,5.7870754260205635,FL,Male,Black or African American,Lung
