,Year,Lung,State,Gender,Race,Cancer
0,1999,12.6,FL,Male,White,Lung
1,2000,13.0,FL,Male,White,Lung
2,2001,12.5,FL,Male,White,Lung
3,2002,11.6,FL,Male,White,Lung
4,2003,12.0,FL,Male,White,Lung
5,2004,11.2,FL,Male,White,Lung
6,2005,11.3,FL,Male,White,Lung
7,2006,10.6,FL,Male,White,Lung
8,2007,10.4,FL,Male,White,Lung
9,2008,9.8,FL,Male,White,Lung
10,2009,10.3,FL,Male,White,Lung
11,2010,10.3,FL,Male,White,Lung
12,2011,9.9,FL,Male,White,Lung
13,2012,9.4,FL,Male,White,Lung
14,2013,9.3,FL,Male,White,Lung
15,2014,9.5,FL,Male,White,Lung
16,2015,8.7,FL,Male,White,Lung
0,2016,8.33640448548791,FL,Male,White,Lung
1,2017,2.109077520808407,FL,Male,White,Lung
2,2018,5.05358201746718,FL,Male,White,Lung
3,2019,5.115362219963354,FL,Male,White,Lung
4,2020,0.0,FL,Male,White,Lung
5,2021,0.0,FL,Male,White,Lung
6,2022,2.0287461632711183,FL,Male,White,Lung
7,2023,1.578380376492651,FL,Male,White,Lung
8,2024,0.0,FL,Male,White,Lung
9,2025,0.0,FL,Male,White,Lung
