,Year,Lung,State,Gender,Race,Cancer
0,1999,2.0,GA,Female,White,Lung
1,2000,1.4,GA,Female,White,Lung
2,2001,1.5,GA,Female,White,Lung
3,2002,2.1,GA,Female,White,Lung
4,2003,2.1,GA,Female,White,Lung
5,2004,1.9,GA,Female,White,Lung
6,2005,2.3,GA,Female,White,Lung
7,2006,1.8,GA,Female,White,Lung
8,2007,1.5,GA,Female,White,Lung
9,2008,1.7,GA,Female,White,Lung
10,2009,1.4,GA,Female,White,Lung
11,2010,2.2,GA,Female,White,Lung
12,2011,1.9,GA,Female,White,Lung
13,2012,2.1,GA,Female,White,Lung
14,2013,1.3,GA,Female,White,Lung
15,2014,1.8,GA,Female,White,Lung
16,2015,2.2,GA,Female,White,Lung
0,2016,2.1154613829885367,GA,Female,White,Lung
1,2017,1.7147855585803033,GA,Female,White,Lung
2,2018,1.22793770409957,GA,Female,White,Lung
3,2019,1.3206085633360685,GA,Female,White,Lung
4,2020,1.3795530041314725,GA,Female,White,Lung
5,2021,1.1923374097693338,GA,Female,White,Lung
6,2022,0.5907778044069565,GA,Female,White,Lung
7,2023,0.7265952777264244,GA,Female,White,Lung
8,2024,0.31433387866243945,GA,Female,White,Lung
9,2025,0.7905672051048052,GA,Female,White,Lung
