,Year,Larynx,State,Gender,Race,Cancer
0,1999,56.9,GA,Female,White,Larynx
1,2000,59.8,GA,Female,White,Larynx
2,2001,61.5,GA,Female,White,Larynx
3,2002,62.7,GA,Female,White,Larynx
4,2003,62.3,GA,Female,White,Larynx
5,2004,62.0,GA,Female,White,Larynx
6,2005,64.7,GA,Female,White,Larynx
7,2006,66.4,GA,Female,White,Larynx
8,2007,70.3,GA,Female,White,Larynx
9,2008,71.6,GA,Female,White,Larynx
10,2009,70.2,GA,Female,White,Larynx
11,2010,66.6,GA,Female,White,Larynx
12,2011,70.1,GA,Female,White,Larynx
13,2012,71.9,GA,Female,White,Larynx
14,2013,70.4,GA,Female,White,Larynx
15,2014,71.2,GA,Female,White,Larynx
16,2015,70.3,GA,Female,White,Larynx
0,2016,71.6662439977546,GA,Female,White,Larynx
1,2017,9.714498765103361,GA,Female,White,Larynx
2,2018,37.2449006376611,GA,Female,White,Larynx
3,2019,39.26956444550627,GA,Female,White,Larynx
4,2020,19.159552538215415,GA,Female,White,Larynx
5,2021,6.634490821390571,GA,Female,White,Larynx
6,2022,0.46782888855220284,GA,Female,White,Larynx
7,2023,14.29781850894498,GA,Female,White,Larynx
8,2024,11.277033337570915,GA,Female,White,Larynx
9,2025,0.0,GA,Female,White,Larynx
