,Year,Larynx,State,Gender,Race,Cancer
0,1999,78.8,HI,Male,White,Larynx
1,2000,78.3,HI,Male,White,Larynx
2,2001,67.9,HI,Male,White,Larynx
3,2002,69.4,HI,Male,White,Larynx
4,2003,76.2,HI,Male,White,Larynx
5,2004,77.4,HI,Male,White,Larynx
6,2005,78.1,HI,Male,White,Larynx
7,2006,67.0,HI,Male,White,Larynx
8,2007,78.3,HI,Male,White,Larynx
9,2008,74.2,HI,Male,White,Larynx
10,2009,57.1,HI,Male,White,Larynx
11,2010,76.4,HI,Male,White,Larynx
12,2011,66.2,HI,Male,White,Larynx
13,2012,60.4,HI,Male,White,Larynx
14,2013,72.1,HI,Male,White,Larynx
15,2014,66.1,HI,Male,White,Larynx
16,2015,66.0,HI,Male,White,Larynx
0,2016,68.126464690776,HI,Male,White,Larynx
1,2017,58.58710510992775,HI,Male,White,Larynx
2,2018,58.93462168371033,HI,Male,White,Larynx
3,2019,4.488581498677421,HI,Male,White,Larynx
4,2020,49.88265943138464,HI,Male,White,Larynx
5,2021,0.0,HI,Male,White,Larynx
6,2022,13.915136401107219,HI,Male,White,Larynx
7,2023,27.43493498002497,HI,Male,White,Larynx
8,2024,0.0,HI,Male,White,Larynx
9,2025,69.36545419501402,HI,Male,White,Larynx
