,Year,Larynx,State,Gender,Race,Cancer
0,1999,80.0,IL,Male,Black or African American,Larynx
1,2000,78.6,IL,Male,Black or African American,Larynx
2,2001,77.8,IL,Male,Black or African American,Larynx
3,2002,77.0,IL,Male,Black or African American,Larynx
4,2003,77.9,IL,Male,Black or African American,Larynx
5,2004,81.0,IL,Male,Black or African American,Larynx
6,2005,78.5,IL,Male,Black or African American,Larynx
7,2006,79.4,IL,Male,Black or African American,Larynx
8,2007,80.7,IL,Male,Black or African American,Larynx
9,2008,76.2,IL,Male,Black or African American,Larynx
10,2009,72.7,IL,Male,Black or African American,Larynx
11,2010,74.2,IL,Male,Black or African American,Larynx
12,2011,77.5,IL,Male,Black or African American,Larynx
13,2012,76.6,IL,Male,Black or African American,Larynx
14,2013,76.2,IL,Male,Black or African American,Larynx
15,2014,75.4,IL,Male,Black or African American,Larynx
16,2015,79.5,IL,Male,Black or African American,Larynx
0,2016,77.84389659402419,IL,Male,Black or African American,Larynx
1,2017,13.093187351431911,IL,Male,Black or African American,Larynx
2,2018,47.198248996747836,IL,Male,Black or African American,Larynx
3,2019,42.97627138864145,IL,Male,Black or African American,Larynx
4,2020,0.0,IL,Male,Black or African American,Larynx
5,2021,16.710819194653865,IL,Male,Black or African American,Larynx
6,2022,37.31737452330393,IL,Male,Black or African American,Larynx
7,2023,0.0,IL,Male,Black or African American,Larynx
8,2024,0.0,IL,Male,Black or African American,Larynx
9,2025,29.701985849571564,IL,Male,Black or African American,Larynx
