,Year,Larynx,State,Gender,Race,Cancer
0,1999,64.0,IL,Female,White,Larynx
1,2000,64.1,IL,Female,White,Larynx
2,2001,65.4,IL,Female,White,Larynx
3,2002,67.8,IL,Female,White,Larynx
4,2003,68.9,IL,Female,White,Larynx
5,2004,68.1,IL,Female,White,Larynx
6,2005,70.1,IL,Female,White,Larynx
7,2006,71.9,IL,Female,White,Larynx
8,2007,73.3,IL,Female,White,Larynx
9,2008,75.2,IL,Female,White,Larynx
10,2009,76.6,IL,Female,White,Larynx
11,2010,73.5,IL,Female,White,Larynx
12,2011,73.2,IL,Female,White,Larynx
13,2012,73.2,IL,Female,White,Larynx
14,2013,70.2,IL,Female,White,Larynx
15,2014,77.9,IL,Female,White,Larynx
16,2015,75.8,IL,Female,White,Larynx
0,2016,76.563487499233,IL,Female,White,Larynx
1,2017,36.34006708920869,IL,Female,White,Larynx
2,2018,16.43761679256092,IL,Female,White,Larynx
3,2019,0.0,IL,Female,White,Larynx
4,2020,91.12396370898917,IL,Female,White,Larynx
5,2021,0.0,IL,Female,White,Larynx
6,2022,33.846339503284966,IL,Female,White,Larynx
7,2023,107.13414654495897,IL,Female,White,Larynx
8,2024,0.0,IL,Female,White,Larynx
9,2025,242.34774050498297,IL,Female,White,Larynx
