,Year,Lung,State,Gender,Race,Cancer
0,1999,2.0,IN,Female,White,Lung
1,2000,2.0,IN,Female,White,Lung
2,2001,2.4,IN,Female,White,Lung
3,2002,2.2,IN,Female,White,Lung
4,2003,2.1,IN,Female,White,Lung
5,2004,2.1,IN,Female,White,Lung
6,2005,2.3,IN,Female,White,Lung
7,2006,2.1,IN,Female,White,Lung
8,2007,2.0,IN,Female,White,Lung
9,2008,2.4,IN,Female,White,Lung
10,2009,2.3,IN,Female,White,Lung
11,2010,2.8,IN,Female,White,Lung
12,2011,2.4,IN,Female,White,Lung
13,2012,2.5,IN,Female,White,Lung
14,2013,1.9,IN,Female,White,Lung
15,2014,2.2,IN,Female,White,Lung
16,2015,2.1,IN,Female,White,Lung
0,2016,2.739391794348106,IN,Female,White,Lung
1,2017,1.3754313827940676,IN,Female,White,Lung
2,2018,1.0218472461587162,IN,Female,White,Lung
3,2019,1.5863155475044144,IN,Female,White,Lung
4,2020,1.563951589500057,IN,Female,White,Lung
5,2021,1.5623780498506,IN,Female,White,Lung
6,2022,0.3555117297825565,IN,Female,White,Lung
7,2023,0.5464880340320377,IN,Female,White,Lung
8,2024,0.0,IN,Female,White,Lung
9,2025,1.3134469566948614,IN,Female,White,Lung
