,Year,Larynx,State,Gender,Race,Cancer
0,1999,65.0,IN,Female,White,Larynx
1,2000,66.4,IN,Female,White,Larynx
2,2001,68.6,IN,Female,White,Larynx
3,2002,73.5,IN,Female,White,Larynx
4,2003,76.2,IN,Female,White,Larynx
5,2004,73.8,IN,Female,White,Larynx
6,2005,74.0,IN,Female,White,Larynx
7,2006,78.8,IN,Female,White,Larynx
8,2007,76.9,IN,Female,White,Larynx
9,2008,77.2,IN,Female,White,Larynx
10,2009,78.8,IN,Female,White,Larynx
11,2010,77.0,IN,Female,White,Larynx
12,2011,77.6,IN,Female,White,Larynx
13,2012,76.0,IN,Female,White,Larynx
14,2013,80.4,IN,Female,White,Larynx
15,2014,80.5,IN,Female,White,Larynx
16,2015,82.2,IN,Female,White,Larynx
0,2016,81.46221303743607,IN,Female,White,Larynx
1,2017,56.430042258791715,IN,Female,White,Larynx
2,2018,53.28466271029096,IN,Female,White,Larynx
3,2019,28.668913589807616,IN,Female,White,Larynx
4,2020,17.97465516085304,IN,Female,White,Larynx
5,2021,18.593576265320166,IN,Female,White,Larynx
6,2022,10.465794496673624,IN,Female,White,Larynx
7,2023,7.6005819546090905,IN,Female,White,Larynx
8,2024,6.97206032413489,IN,Female,White,Larynx
9,2025,5.647836304243377,IN,Female,White,Larynx
