,Year,Larynx,State,Gender,Race,Cancer
0,1999,72.6,KY,Male,Black or African American,Larynx
1,2000,103.5,KY,Male,Black or African American,Larynx
2,2001,74.8,KY,Male,Black or African American,Larynx
3,2002,96.8,KY,Male,Black or African American,Larynx
4,2003,85.1,KY,Male,Black or African American,Larynx
5,2004,89.1,KY,Male,Black or African American,Larynx
6,2005,92.3,KY,Male,Black or African American,Larynx
7,2006,86.1,KY,Male,Black or African American,Larynx
8,2007,82.7,KY,Male,Black or African American,Larynx
9,2008,94.5,KY,Male,Black or African American,Larynx
10,2009,86.5,KY,Male,Black or African American,Larynx
11,2010,88.1,KY,Male,Black or African American,Larynx
12,2011,80.1,KY,Male,Black or African American,Larynx
13,2012,83.8,KY,Male,Black or African American,Larynx
14,2013,66.7,KY,Male,Black or African American,Larynx
15,2014,77.9,KY,Male,Black or African American,Larynx
16,2015,64.7,KY,Male,Black or African American,Larynx
0,2016,67.24390535901074,KY,Male,Black or African American,Larynx
1,2017,54.801434056991404,KY,Male,Black or African American,Larynx
2,2018,5.919536284818285,KY,Male,Black or African American,Larynx
3,2019,6.675996334675993,KY,Male,Black or African American,Larynx
4,2020,0.0,KY,Male,Black or African American,Larynx
5,2021,2.2528236194687707,KY,Male,Black or African American,Larynx
6,2022,0.0,KY,Male,Black or African American,Larynx
7,2023,16.660951019035934,KY,Male,Black or African American,Larynx
8,2024,0.0,KY,Male,Black or African American,Larynx
9,2025,37.576119532474166,KY,Male,Black or African American,Larynx
