,Year,Larynx,State,Gender,Race,Cancer
0,1999,80.3,KY,Female,White,Larynx
1,2000,83.0,KY,Female,White,Larynx
2,2001,85.2,KY,Female,White,Larynx
3,2002,88.0,KY,Female,White,Larynx
4,2003,88.7,KY,Female,White,Larynx
5,2004,90.2,KY,Female,White,Larynx
6,2005,95.4,KY,Female,White,Larynx
7,2006,95.9,KY,Female,White,Larynx
8,2007,97.8,KY,Female,White,Larynx
9,2008,101.8,KY,Female,White,Larynx
10,2009,99.9,KY,Female,White,Larynx
11,2010,104.1,KY,Female,White,Larynx
12,2011,103.3,KY,Female,White,Larynx
13,2012,103.5,KY,Female,White,Larynx
14,2013,104.3,KY,Female,White,Larynx
15,2014,106.0,KY,Female,White,Larynx
16,2015,106.5,KY,Female,White,Larynx
0,2016,107.79703948231712,KY,Female,White,Larynx
1,2017,63.180134090756994,KY,Female,White,Larynx
2,2018,11.141313691254844,KY,Female,White,Larynx
3,2019,0.0,KY,Female,White,Larynx
4,2020,0.0,KY,Female,White,Larynx
5,2021,0.0,KY,Female,White,Larynx
6,2022,0.0,KY,Female,White,Larynx
7,2023,0.0,KY,Female,White,Larynx
8,2024,0.0,KY,Female,White,Larynx
9,2025,5.650866040955847,KY,Female,White,Larynx
