,Year,Larynx,State,Gender,Race,Cancer
0,1999,73.3,MD,Female,White,Larynx
1,2000,70.5,MD,Female,White,Larynx
2,2001,67.8,MD,Female,White,Larynx
3,2002,72.1,MD,Female,White,Larynx
4,2003,77.3,MD,Female,White,Larynx
5,2004,76.7,MD,Female,White,Larynx
6,2005,75.5,MD,Female,White,Larynx
7,2006,79.6,MD,Female,White,Larynx
8,2007,77.7,MD,Female,White,Larynx
9,2008,77.0,MD,Female,White,Larynx
10,2009,75.4,MD,Female,White,Larynx
11,2010,71.9,MD,Female,White,Larynx
12,2011,76.8,MD,Female,White,Larynx
13,2012,72.8,MD,Female,White,Larynx
14,2013,74.5,MD,Female,White,Larynx
15,2014,74.6,MD,Female,White,Larynx
16,2015,76.6,MD,Female,White,Larynx
0,2016,74.52627978879538,MD,Female,White,Larynx
1,2017,56.309800174841534,MD,Female,White,Larynx
2,2018,26.99241025941642,MD,Female,White,Larynx
3,2019,15.102194175369018,MD,Female,White,Larynx
4,2020,0.0,MD,Female,White,Larynx
5,2021,4.639182238945338,MD,Female,White,Larynx
6,2022,0.0,MD,Female,White,Larynx
7,2023,3.5041915564780766,MD,Female,White,Larynx
8,2024,0.0,MD,Female,White,Larynx
9,2025,5.51977493422018,MD,Female,White,Larynx
