,Year,Larynx,State,Gender,Race,Cancer
0,1999,66.4,MI,Female,White,Larynx
1,2000,66.3,MI,Female,White,Larynx
2,2001,69.4,MI,Female,White,Larynx
3,2002,68.4,MI,Female,White,Larynx
4,2003,73.8,MI,Female,White,Larynx
5,2004,72.6,MI,Female,White,Larynx
6,2005,75.4,MI,Female,White,Larynx
7,2006,75.6,MI,Female,White,Larynx
8,2007,81.1,MI,Female,White,Larynx
9,2008,78.1,MI,Female,White,Larynx
10,2009,76.3,MI,Female,White,Larynx
11,2010,81.1,MI,Female,White,Larynx
12,2011,81.6,MI,Female,White,Larynx
13,2012,79.1,MI,Female,White,Larynx
14,2013,78.5,MI,Female,White,Larynx
15,2014,80.7,MI,Female,White,Larynx
16,2015,82.3,MI,Female,White,Larynx
0,2016,77.83918466323298,MI,Female,White,Larynx
1,2017,51.22799798531827,MI,Female,White,Larynx
2,2018,41.452408716262426,MI,Female,White,Larynx
3,2019,0.5848954182750443,MI,Female,White,Larynx
4,2020,0.0,MI,Female,White,Larynx
5,2021,0.0,MI,Female,White,Larynx
6,2022,0.0,MI,Female,White,Larynx
7,2023,0.0,MI,Female,White,Larynx
8,2024,0.0,MI,Female,White,Larynx
9,2025,0.0,MI,Female,White,Larynx
