,Year,Lung,State,Gender,Race,Cancer
0,1999,8.7,MO,Male,White,Lung
1,2000,8.9,MO,Male,White,Lung
2,2001,7.7,MO,Male,White,Lung
3,2002,8.7,MO,Male,White,Lung
4,2003,8.1,MO,Male,White,Lung
5,2004,8.4,MO,Male,White,Lung
6,2005,8.3,MO,Male,White,Lung
7,2006,7.4,MO,Male,White,Lung
8,2007,6.3,MO,Male,White,Lung
9,2008,7.9,MO,Male,White,Lung
10,2009,9.2,MO,Male,White,Lung
11,2010,8.6,MO,Male,White,Lung
12,2011,9.0,MO,Male,White,Lung
13,2012,8.9,MO,Male,White,Lung
14,2013,8.5,MO,Male,White,Lung
15,2014,7.8,MO,Male,White,Lung
16,2015,8.3,MO,Male,White,Lung
0,2016,8.657531675615795,MO,Male,White,Lung
1,2017,0.48431960247231387,MO,Male,White,Lung
2,2018,5.076017423847534,MO,Male,White,Lung
3,2019,6.753595745039543,MO,Male,White,Lung
4,2020,0.7159275555790918,MO,Male,White,Lung
5,2021,2.9803602062064654,MO,Male,White,Lung
6,2022,5.283722675276216,MO,Male,White,Lung
7,2023,0.0,MO,Male,White,Lung
8,2024,0.0,MO,Male,White,Lung
9,2025,5.838107707432378,MO,Male,White,Lung
