,Year,Larynx,State,Gender,Race,Cancer
0,1999,51.6,NY,Male,Black or African American,Larynx
1,2000,54.0,NY,Male,Black or African American,Larynx
2,2001,52.8,NY,Male,Black or African American,Larynx
3,2002,51.6,NY,Male,Black or African American,Larynx
4,2003,47.9,NY,Male,Black or African American,Larynx
5,2004,53.3,NY,Male,Black or African American,Larynx
6,2005,53.6,NY,Male,Black or African American,Larynx
7,2006,51.2,NY,Male,Black or African American,Larynx
8,2007,51.9,NY,Male,Black or African American,Larynx
9,2008,50.6,NY,Male,Black or African American,Larynx
10,2009,53.1,NY,Male,Black or African American,Larynx
11,2010,51.2,NY,Male,Black or African American,Larynx
12,2011,52.4,NY,Male,Black or African American,Larynx
13,2012,52.3,NY,Male,Black or African American,Larynx
14,2013,48.1,NY,Male,Black or African American,Larynx
15,2014,50.1,NY,Male,Black or African American,Larynx
16,2015,51.2,NY,Male,Black or African American,Larynx
0,2016,50.568214524334635,NY,Male,Black or African American,Larynx
1,2017,36.80392940846139,NY,Male,Black or African American,Larynx
2,2018,46.70755603859,NY,Male,Black or African American,Larynx
3,2019,24.078520254482676,NY,Male,Black or African American,Larynx
4,2020,36.05624169810567,NY,Male,Black or African American,Larynx
5,2021,5.284442311431205,NY,Male,Black or African American,Larynx
6,2022,17.888636873235143,NY,Male,Black or African American,Larynx
7,2023,17.964306979390244,NY,Male,Black or African American,Larynx
8,2024,0.0,NY,Male,Black or African American,Larynx
9,2025,22.37485361353426,NY,Male,Black or African American,Larynx
