,Year,Lung,State,Gender,Race,Cancer
0,1999,1.6,OH,Female,White,Lung
1,2000,1.8,OH,Female,White,Lung
2,2001,1.7,OH,Female,White,Lung
3,2002,1.7,OH,Female,White,Lung
4,2003,2.2,OH,Female,White,Lung
5,2004,2.6,OH,Female,White,Lung
6,2005,2.2,OH,Female,White,Lung
7,2006,2.0,OH,Female,White,Lung
8,2007,2.1,OH,Female,White,Lung
9,2008,2.3,OH,Female,White,Lung
10,2009,2.2,OH,Female,White,Lung
11,2010,2.4,OH,Female,White,Lung
12,2011,2.7,OH,Female,White,Lung
13,2012,2.3,OH,Female,White,Lung
14,2013,2.5,OH,Female,White,Lung
15,2014,2.1,OH,Female,White,Lung
16,2015,2.5,OH,Female,White,Lung
0,2016,2.2658098680523713,OH,Female,White,Lung
1,2017,2.168358825742801,OH,Female,White,Lung
2,2018,1.324911008908708,OH,Female,White,Lung
3,2019,2.6084274987707374,OH,Female,White,Lung
4,2020,0.062300667582457336,OH,Female,White,Lung
5,2021,3.1561482376410304,OH,Female,White,Lung
6,2022,0.0,OH,Female,White,Lung
7,2023,4.614675366665008,OH,Female,White,Lung
8,2024,0.0,OH,Female,White,Lung
9,2025,8.769766246208128,OH,Female,White,Lung
