,Year,Larynx,State,Gender,Race,Cancer
0,1999,68.3,OH,Female,White,Larynx
1,2000,68.1,OH,Female,White,Larynx
2,2001,71.6,OH,Female,White,Larynx
3,2002,72.6,OH,Female,White,Larynx
4,2003,70.9,OH,Female,White,Larynx
5,2004,74.2,OH,Female,White,Larynx
6,2005,76.0,OH,Female,White,Larynx
7,2006,77.2,OH,Female,White,Larynx
8,2007,75.9,OH,Female,White,Larynx
9,2008,78.9,OH,Female,White,Larynx
10,2009,82.9,OH,Female,White,Larynx
11,2010,79.3,OH,Female,White,Larynx
12,2011,80.6,OH,Female,White,Larynx
13,2012,80.3,OH,Female,White,Larynx
14,2013,81.8,OH,Female,White,Larynx
15,2014,82.3,OH,Female,White,Larynx
16,2015,83.3,OH,Female,White,Larynx
0,2016,83.93689894132329,OH,Female,White,Larynx
1,2017,49.21742110363343,OH,Female,White,Larynx
2,2018,57.19643378261829,OH,Female,White,Larynx
3,2019,20.343904169420583,OH,Female,White,Larynx
4,2020,3.033383096601556,OH,Female,White,Larynx
5,2021,0.0,OH,Female,White,Larynx
6,2022,9.186925788613687,OH,Female,White,Larynx
7,2023,0.0,OH,Female,White,Larynx
8,2024,0.0,OH,Female,White,Larynx
9,2025,1.9009154201704725,OH,Female,White,Larynx
