,Year,Larynx,State,Gender,Race,Cancer
0,1999,98.6,OH,Male,White,Larynx
1,2000,93.0,OH,Male,White,Larynx
2,2001,96.9,OH,Male,White,Larynx
3,2002,95.3,OH,Male,White,Larynx
4,2003,94.4,OH,Male,White,Larynx
5,2004,96.9,OH,Male,White,Larynx
6,2005,97.8,OH,Male,White,Larynx
7,2006,98.2,OH,Male,White,Larynx
8,2007,97.4,OH,Male,White,Larynx
9,2008,98.7,OH,Male,White,Larynx
10,2009,99.0,OH,Male,White,Larynx
11,2010,98.3,OH,Male,White,Larynx
12,2011,98.1,OH,Male,White,Larynx
13,2012,95.9,OH,Male,White,Larynx
14,2013,95.8,OH,Male,White,Larynx
15,2014,98.1,OH,Male,White,Larynx
16,2015,96.3,OH,Male,White,Larynx
0,2016,95.03594626526804,OH,Male,White,Larynx
1,2017,2.313707539432494,OH,Male,White,Larynx
2,2018,34.0320567704975,OH,Male,White,Larynx
3,2019,19.875297068085935,OH,Male,White,Larynx
4,2020,0.0,OH,Male,White,Larynx
5,2021,0.0,OH,Male,White,Larynx
6,2022,8.723292873294856,OH,Male,White,Larynx
7,2023,0.0,OH,Male,White,Larynx
8,2024,0.0,OH,Male,White,Larynx
9,2025,2.176686334066309,OH,Male,White,Larynx
