,Year,Larynx,State,Gender,Race,Cancer
0,1999,72.9,OR,Female,White,Larynx
1,2000,70.4,OR,Female,White,Larynx
2,2001,75.4,OR,Female,White,Larynx
3,2002,72.8,OR,Female,White,Larynx
4,2003,72.0,OR,Female,White,Larynx
5,2004,74.3,OR,Female,White,Larynx
6,2005,75.3,OR,Female,White,Larynx
7,2006,73.3,OR,Female,White,Larynx
8,2007,74.0,OR,Female,White,Larynx
9,2008,74.8,OR,Female,White,Larynx
10,2009,74.2,OR,Female,White,Larynx
11,2010,70.2,OR,Female,White,Larynx
12,2011,76.1,OR,Female,White,Larynx
13,2012,73.0,OR,Female,White,Larynx
14,2013,71.5,OR,Female,White,Larynx
15,2014,72.5,OR,Female,White,Larynx
16,2015,64.4,OR,Female,White,Larynx
0,2016,71.65026580840666,OR,Female,White,Larynx
1,2017,57.52696362773688,OR,Female,White,Larynx
2,2018,7.230932187950621,OR,Female,White,Larynx
3,2019,0.0,OR,Female,White,Larynx
4,2020,0.0,OR,Female,White,Larynx
5,2021,0.0,OR,Female,White,Larynx
6,2022,0.0,OR,Female,White,Larynx
7,2023,0.0,OR,Female,White,Larynx
8,2024,0.0,OR,Female,White,Larynx
9,2025,0.0,OR,Female,White,Larynx
