,Year,Lung,State,Gender,Race,Cancer
0,1999,8.2,TN,Male,Black or African American,Lung
1,2000,6.0,TN,Male,Black or African American,Lung
2,2001,6.4,TN,Male,Black or African American,Lung
3,2002,6.9,TN,Male,Black or African American,Lung
4,2003,7.7,TN,Male,Black or African American,Lung
5,2004,7.3,TN,Male,Black or African American,Lung
6,2005,10.1,TN,Male,Black or African American,Lung
7,2006,8.3,TN,Male,Black or African American,Lung
8,2007,6.6,TN,Male,Black or African American,Lung
9,2008,7.5,TN,Male,Black or African American,Lung
10,2009,6.2,TN,Male,Black or African American,Lung
11,2010,8.8,TN,Male,Black or African American,Lung
12,2011,7.6,TN,Male,Black or African American,Lung
13,2012,7.7,TN,Male,Black or African American,Lung
14,2013,6.3,TN,Male,Black or African American,Lung
15,2014,7.7,TN,Male,Black or African American,Lung
16,2015,5.1,TN,Male,Black or African American,Lung
0,2016,8.285980743367748,TN,Male,Black or African American,Lung
1,2017,6.240692293207921,TN,Male,Black or African American,Lung
2,2018,5.3824530446940955,TN,Male,Black or African American,Lung
3,2019,4.854133432864771,TN,Male,Black or African American,Lung
4,2020,5.550123747860703,TN,Male,Black or African American,Lung
5,2021,4.087797732557983,TN,Male,Black or African American,Lung
6,2022,3.081818939904988,TN,Male,Black or African American,Lung
7,2023,2.050925748065441,TN,Male,Black or African American,Lung
8,2024,2.0230776714934895,TN,Male,Black or African American,Lung
9,2025,1.473823374853009,TN,Male,Black or African American,Lung
