,Year,Lung,State,Gender,Race,Cancer
0,1999,1.6,TX,Female,Black or African American,Lung
1,2000,1.6,TX,Female,Black or African American,Lung
2,2001,1.6,TX,Female,Black or African American,Lung
3,2002,1.6,TX,Female,Black or African American,Lung
4,2003,2.0,TX,Female,Black or African American,Lung
5,2004,1.4,TX,Female,Black or African American,Lung
6,2005,1.3,TX,Female,Black or African American,Lung
7,2006,1.5,TX,Female,Black or African American,Lung
8,2007,2.3,TX,Female,Black or African American,Lung
9,2008,1.4,TX,Female,Black or African American,Lung
10,2009,2.0,TX,Female,Black or African American,Lung
11,2010,1.5,TX,Female,Black or African American,Lung
12,2011,1.9,TX,Female,Black or African American,Lung
13,2012,1.8,TX,Female,Black or African American,Lung
14,2013,1.2,TX,Female,Black or African American,Lung
15,2014,1.1,TX,Female,Black or African American,Lung
16,2015,1.1,TX,Female,Black or African American,Lung
0,2016,1.369177074580706,TX,Female,Black or African American,Lung
1,2017,0.7917633020216595,TX,Female,Black or African American,Lung
2,2018,0.49736242995540597,TX,Female,Black or African American,Lung
3,2019,0.5036692209477576,TX,Female,Black or African American,Lung
4,2020,0.14511643246112121,TX,Female,Black or African American,Lung
5,2021,0.04128022594190606,TX,Female,Black or African American,Lung
6,2022,0.0,TX,Female,Black or African American,Lung
7,2023,0.03579791700603835,TX,Female,Black or African American,Lung
8,2024,0.0,TX,Female,Black or African American,Lung
9,2025,0.0,TX,Female,Black or African American,Lung
