,Year,Lung,State,Gender,Race,Cancer
0,1999,1.6,WA,Female,White,Lung
1,2000,1.3,WA,Female,White,Lung
2,2001,1.4,WA,Female,White,Lung
3,2002,0.8,WA,Female,White,Lung
4,2003,1.4,WA,Female,White,Lung
5,2004,1.6,WA,Female,White,Lung
6,2005,2.0,WA,Female,White,Lung
7,2006,1.6,WA,Female,White,Lung
8,2007,1.1,WA,Female,White,Lung
9,2008,1.3,WA,Female,White,Lung
10,2009,1.2,WA,Female,White,Lung
11,2010,1.7,WA,Female,White,Lung
12,2011,1.2,WA,Female,White,Lung
13,2012,1.4,WA,Female,White,Lung
14,2013,1.3,WA,Female,White,Lung
15,2014,1.3,WA,Female,White,Lung
16,2015,0.9,WA,Female,White,Lung
0,2016,0.8427457370678978,WA,Female,White,Lung
1,2017,0.2476099077625009,WA,Female,White,Lung
2,2018,0.1576117241095332,WA,Female,White,Lung
3,2019,0.5493897949178539,WA,Female,White,Lung
4,2020,0.05628583110826557,WA,Female,White,Lung
5,2021,0.0,WA,Female,White,Lung
6,2022,0.0,WA,Female,White,Lung
7,2023,0.09691730260997644,WA,Female,White,Lung
8,2024,0.0,WA,Female,White,Lung
9,2025,0.007600207744782761,WA,Female,White,Lung
