,Year,Lung,State,Gender,Race,Cancer
0,1999,2.2,WI,Female,White,Lung
1,2000,2.0,WI,Female,White,Lung
2,2001,2.0,WI,Female,White,Lung
3,2002,1.2,WI,Female,White,Lung
4,2003,1.4,WI,Female,White,Lung
5,2004,1.8,WI,Female,White,Lung
6,2005,1.4,WI,Female,White,Lung
7,2006,1.7,WI,Female,White,Lung
8,2007,1.8,WI,Female,White,Lung
9,2008,1.5,WI,Female,White,Lung
10,2009,1.2,WI,Female,White,Lung
11,2010,1.6,WI,Female,White,Lung
12,2011,1.8,WI,Female,White,Lung
13,2012,1.6,WI,Female,White,Lung
14,2013,1.8,WI,Female,White,Lung
15,2014,1.8,WI,Female,White,Lung
16,2015,1.9,WI,Female,White,Lung
0,2016,1.8985222635071288,WI,Female,White,Lung
1,2017,0.9056174226534529,WI,Female,White,Lung
2,2018,1.5400571734417676,WI,Female,White,Lung
3,2019,0.3716174283964497,WI,Female,White,Lung
4,2020,0.5574468173138889,WI,Female,White,Lung
5,2021,0.909160103051469,WI,Female,White,Lung
6,2022,0.0,WI,Female,White,Lung
7,2023,0.477402978298197,WI,Female,White,Lung
8,2024,0.4441471530830313,WI,Female,White,Lung
9,2025,0.0,WI,Female,White,Lung
