,Year,Larynx,State,Gender,Race,Cancer
0,1999,83.5,WI,Male,White,Larynx
1,2000,78.8,WI,Male,White,Larynx
2,2001,78.3,WI,Male,White,Larynx
3,2002,76.6,WI,Male,White,Larynx
4,2003,79.2,WI,Male,White,Larynx
5,2004,80.2,WI,Male,White,Larynx
6,2005,72.6,WI,Male,White,Larynx
7,2006,75.0,WI,Male,White,Larynx
8,2007,76.1,WI,Male,White,Larynx
9,2008,76.9,WI,Male,White,Larynx
10,2009,73.0,WI,Male,White,Larynx
11,2010,79.4,WI,Male,White,Larynx
12,2011,76.9,WI,Male,White,Larynx
13,2012,75.7,WI,Male,White,Larynx
14,2013,79.3,WI,Male,White,Larynx
15,2014,77.2,WI,Male,White,Larynx
16,2015,79.3,WI,Male,White,Larynx
0,2016,77.46255142551801,WI,Male,White,Larynx
1,2017,72.46799124787279,WI,Male,White,Larynx
2,2018,43.29505517265198,WI,Male,White,Larynx
3,2019,18.89284921787607,WI,Male,White,Larynx
4,2020,0.0,WI,Male,White,Larynx
5,2021,0.0,WI,Male,White,Larynx
6,2022,0.0,WI,Male,White,Larynx
7,2023,0.0,WI,Male,White,Larynx
8,2024,0.0,WI,Male,White,Larynx
9,2025,0.0,WI,Male,White,Larynx
