"Notes"	"States"	"States Code"	"Age Groups"	"Age Groups Code"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	20	89301	22.4
	"Alabama"	"01"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	47	252495	18.6
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	44	81697	53.9
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	85	236934	35.9
	"Alabama"	"01"	"50-54 years"	"50-54"	"Larynx"	"22020"	"White"	"2106-3"	22	229571	9.6
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	62	66403	93.4
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	169	229571	73.6
	"Alabama"	"01"	"55-59 years"	"55-59"	"Larynx"	"22020"	"White"	"2106-3"	19	184749	10.3
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	81	43644	185.6
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	290	184749	157.0
	"Alabama"	"01"	"60-64 years "	"60-64"	"Larynx"	"22020"	"White"	"2106-3"	30	155700	19.3
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	66	36249	182.1
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	388	155700	249.2
	"Alabama"	"01"	"65-69 years"	"65-69"	"Larynx"	"22020"	"White"	"2106-3"	26	136006	19.1
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	105	31993	328.2
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	540	136006	397.0
	"Alabama"	"01"	"70-74 years"	"70-74"	"Larynx"	"22020"	"White"	"2106-3"	28	120689	23.2
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	104	27413	379.4
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	587	120689	486.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"Larynx"	"22020"	"White"	"2106-3"	17	96364	17.6
	"Alabama"	"01"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	88	21868	402.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	438	96364	454.5
	"Alabama"	"01"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	44	14500	303.4
