"Notes"	"States"	"States Code"	"Age Groups"	"Age Groups Code"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	19	86538	22.0
	"Alabama"	"01"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	56	245706	22.8
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	34	88752	38.3
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	128	249565	51.3
	"Alabama"	"01"	"50-54 years"	"50-54"	"Larynx"	"22020"	"White"	"2106-3"	24	231420	10.4
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	66	78444	84.1
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	182	231420	78.6
	"Alabama"	"01"	"55-59 years"	"55-59"	"Larynx"	"22020"	"White"	"2106-3"	28	219634	12.7
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	86	60276	142.7
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	290	219634	132.0
	"Alabama"	"01"	"60-64 years "	"60-64"	"Larynx"	"22020"	"White"	"2106-3"	41	176877	23.2
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	106	40725	260.3
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	403	176877	227.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"Larynx"	"22020"	"White"	"2106-3"	30	144689	20.7
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	109	33464	325.7
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	510	144689	352.5
	"Alabama"	"01"	"70-74 years"	"70-74"	"Larynx"	"22020"	"White"	"2106-3"	24	120521	19.9
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	83	27235	304.8
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	559	120521	463.8
	"Alabama"	"01"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	77	21589	356.7
	"Alabama"	"01"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	498	98395	506.1
	"Alabama"	"01"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	46	14843	309.9
	"Alabama"	"01"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	294	69519	422.9
	"Alabama"	"01"	"85+ years"	"85+"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	34	13044	260.7
	"Alabama"	"01"	"85+ years"	"85+"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	146	54085	269.9
	"Alaska"	"02"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	20	41896	47.7
	"Alaska"	"02"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	24	32237	74.4
	"Alaska"	"02"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	37	20181	183.3
	"Alaska"	"02"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	44	12019	366.1
	"Alaska"	"02"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"American Indian or Alaska Native"	"1002-5"	17	1898	895.7
	"Alaska"	"02"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	36	8321	432.6
	"Alaska"	"02"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	39	6365	612.7
	"Alaska"	"02"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	18	3981	452.1
	"Arizona"	"04"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	31	362820	8.5
